Ticker,Link,ESG Risk Score,Environment Risk Score,Social Risk Score,Governance Risk Score,Data Date
FOUR.L,https://uk.finance.yahoo.com/quote/FOUR.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
888.L,https://uk.finance.yahoo.com/quote/888.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
ASL.L,https://uk.finance.yahoo.com/quote/ASL.L/sustainability,24,#N/A,#N/A,#N/A,12-2020
AAS.L,https://uk.finance.yahoo.com/quote/AAS.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
AAIF.L,https://uk.finance.yahoo.com/quote/AAIF.L/sustainability,24,5.4,8.1,8.3,12-2020
ACIC.L,https://uk.finance.yahoo.com/quote/ACIC.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
AEI.L,https://uk.finance.yahoo.com/quote/AEI.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
ANII.L,https://uk.finance.yahoo.com/quote/ANII.L/sustainability,25,4.2,7.1,7.2,12-2020
ABDN.L,https://uk.finance.yahoo.com/quote/ABDN.L/sustainability,17,1.4,8.5,6.7,09-2023
AUSC.L,https://uk.finance.yahoo.com/quote/AUSC.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
ATST.L,https://uk.finance.yahoo.com/quote/ATST.L/sustainability,23,3.8,10.4,7.9,12-2020
AAL.L,https://uk.finance.yahoo.com/quote/AAL.L/sustainability,23,10.4,8.9,3.8,9-2023
AEP.L,https://uk.finance.yahoo.com/quote/AEP.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
ANTO.L,https://uk.finance.yahoo.com/quote/ANTO.L/sustainability,27,13.1,9.2,4.4,9-2023
APTD.L,https://uk.finance.yahoo.com/quote/APTD.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
ATS.L,https://uk.finance.yahoo.com/quote/ATS.L/sustainability,21,3.3,9.5,6.6,12-2020
ASHM.L,https://uk.finance.yahoo.com/quote/ASHM.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
AHT.L,https://uk.finance.yahoo.com/quote/AHT.L/sustainability,18,5.7,6.2,5.6,9-2023
ABF.L,https://uk.finance.yahoo.com/quote/ABF.L/sustainability,31,11.9,14.2,5,9-2023
AGR.L,https://uk.finance.yahoo.com/quote/AGR.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
AZN.L,https://uk.finance.yahoo.com/quote/AZN.L/sustainability,22,2.1,12.8,6.9,9-2023
ARR.L,https://uk.finance.yahoo.com/quote/ARR.L/sustainability,21,5.2,9.4,5.2,12-2020
AGT.L,https://uk.finance.yahoo.com/quote/AGT.L/sustainability,25,2.7,5.9,6,12-2020
AV.L,https://uk.finance.yahoo.com/quote/AV.L/sustainability,14,1.4,7.8,4.9,9-2023
AVON.L,https://uk.finance.yahoo.com/quote/AVON.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
BA.L,https://uk.finance.yahoo.com/quote/BA.L/sustainability,26,7.3,13.6,5.2,9-2023
BGCG.L,https://uk.finance.yahoo.com/quote/BGCG.L/sustainability,28,4.3,11.6,9.3,12-2020
BGEU.L,https://uk.finance.yahoo.com/quote/BGEU.L/sustainability,19,3.1,8.5,6.8,12-2020
BGFD.L,https://uk.finance.yahoo.com/quote/BGFD.L/sustainability,25,4.1,7.8,7,12-2020
BGS.L,https://uk.finance.yahoo.com/quote/BGS.L/sustainability,28,#N/A,#N/A,#N/A,12-2020
BGUK.L,https://uk.finance.yahoo.com/quote/BGUK.L/sustainability,21,2.5,8.1,6.3,12-2020
BCPT.L,https://uk.finance.yahoo.com/quote/BCPT.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
BBY.L,https://uk.finance.yahoo.com/quote/BBY.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
BNKR.L,https://uk.finance.yahoo.com/quote/BNKR.L/sustainability,21,4.1,9,7.7,12-2020
BARC.L,https://uk.finance.yahoo.com/quote/BARC.L/sustainability,24,1.7,10.9,11.4,9-2023
BAG.L,https://uk.finance.yahoo.com/quote/BAG.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
